name,email,birthday,group,phone,type
Alibek,alibek@gmail.com,2000-05-10,Friends,7771112233,mobile
Aruzhan,aruzhan@gmail.com,1999-03-21,Family,87001234567,home
Dias,dias@mail.com,2001-11-02,Work,77005551234,work
Aigerim,aigerim@gmail.com,2002-07-15,Friends,7779988776,mobile
Nursultan,nurs@gmail.com,1998-01-30,Other,87001112233,mobile
Madina,madina@gmail.com,2000-09-12,Family,77002223344,home
Alisher,alisher@mail.com,1997-06-25,Work,7773332211,work
Dana,dana@gmail.com,2003-04-18,Friends,87009998877,mobile
Erbolat,erbolat@mail.com,1995-12-05,Other,77007778899,work
Zhanar,zhanar@gmail.com,2001-02-14,Family,7776665544,home
